,Country,Region,Happiness Rank,Happiness Score,pca_component_1,pca_component_2,pca_component_3,cluster
0,Finland,Western Europe,1,7.632,-3.2241288646986423,0.9783069913145391,-1.3609667633181826,0
1,Norway,Western Europe,2,7.594,-3.3112039010810745,1.266332653526962,-0.9787352624300544,0
2,Denmark,Western Europe,3,7.555,-3.42504674662955,1.6508307997398821,-0.9803509921829742,0
3,Iceland,Western Europe,4,7.495,-2.7512293456135555,0.6675514450703877,-1.0236749645862488,0
4,Switzerland,Western Europe,5,7.487,-3.3059002629478424,1.096974360919117,-0.8016281104438349,0
5,Netherlands,Western Europe,6,7.441,-2.873261787894512,1.3630657642370334,-1.0605514783660412,0
6,Canada,North America,7,7.328,-2.942702490492813,1.3067261763713225,-0.803762041817727,0
7,New Zealand,Australia and New Zealand,8,7.324,-3.3550774633911358,2.1831574872386974,-0.5885152124760317,0
8,Sweden,Western Europe,9,7.314,-3.240162934864329,1.546426924717374,-0.6468567236900843,0
9,Australia,Australia and New Zealand,10,7.272,-3.120240396558391,1.6175154824305131,-0.48660694915843494,0
10,United Kingdom,Western Europe,11,7.19,-1.4396226889944364,-0.5372629656684557,-1.4920221705426535,2
11,Austria,Western Europe,12,7.139,-2.4882908714496565,0.3746341298123758,-0.7553917231511561,0
12,Costa Rica,Latin America and Caribbean,13,7.072,-1.3415616399266033,-0.7066926725060908,-1.9280348099839102,2
13,Ireland,Western Europe,14,6.977,-3.0648105642671504,1.2362226816587085,0.13062548900743923,0
14,Germany,Western Europe,15,6.965,-2.532721011496446,0.9005051775193665,-0.431330970705832,0
15,Belgium,Western Europe,16,6.927,-2.342480732696393,0.07157295363281152,-0.5076256691353889,0
16,Luxembourg,Western Europe,17,6.91,-3.119900289196905,0.5517664203784458,0.29842518598975754,0
17,United States,North America,18,6.886,-1.948814316261782,0.18905285128599783,-0.5075882538649273,0
18,Israel,Middle East and Northern Africa,19,6.814,-2.6092178016546996,1.3123226530292733,0.0738722947802408,0
19,United Arab Emirates,Middle East and Northern Africa,20,6.774,-0.25351255225517183,-1.7321883408085266,-1.1006283606856981,2
20,Czech Republic,Central and Eastern Europe,21,6.711,-1.2031402525813342,-1.8609065504935645,-0.942726870248689,2
21,Malta,Western Europe,22,6.627,-2.364798642917092,1.1336563175088015,0.1756504387342779,0
22,France,Western Europe,23,6.489,-1.8190483515303733,-0.9148335143522605,-0.04334642728940502,2
23,Mexico,Latin America and Caribbean,24,6.488,-0.46026511519171687,-1.3379048635118822,-1.5263216247374651,2
24,Chile,Latin America and Caribbean,25,6.476,-0.7313209506823203,-0.8295130429968497,-0.9292249933353771,2
25,Taiwan,Eastern Asia,26,6.441,-1.256931036269951,-1.2675693111926267,-0.11844263664570553,2
26,Panama,Latin America and Caribbean,27,6.43,-1.0737833416260285,-0.9246958431599784,-0.8028224933760243,2
27,Brazil,Latin America and Caribbean,28,6.419,-0.6222470263949246,-1.0493587784806913,-1.2043090783983716,2
28,Argentina,Latin America and Caribbean,29,6.388,-0.8660434846380055,-1.4572389727170572,-0.9128835735898441,2
29,Guatemala,Latin America and Caribbean,30,6.382,-0.196484650374498,-0.1472390794736404,-1.9650488208472696,2
