,Country,Region,Happiness Rank,Happiness Score,pca_component_1,pca_component_2,pca_component_3,cluster
0,Finland,Western Europe,1,7.769,-3.1478033459306687,1.0165335711662509,-1.646131539226593,3
1,Denmark,Western Europe,2,7.6,-3.300175382927249,1.8142715892658074,-0.9502946875970669,3
2,Norway,Western Europe,3,7.554,-3.343858959427629,1.5230818302195035,-0.6420089657555401,3
3,Iceland,Western Europe,4,7.494,-2.6010075890720685,0.9243857783719494,-0.9045069180382479,3
4,Netherlands,Western Europe,5,7.488,-2.8430903901500058,1.6648938299001679,-0.8573437719342266,3
5,Switzerland,Western Europe,6,7.48,-3.174812769287477,1.440887224560681,-0.6698559040078167,3
6,Sweden,Western Europe,7,7.343,-3.0357525125761553,1.7378885313181425,-0.6385391016123358,3
7,New Zealand,Australia and New Zealand,8,7.307,-3.166474405762626,2.2513234917429146,-0.39157437169008225,3
8,Canada,North America,9,7.278,-2.9361887205418618,1.5215997744832352,-0.540573226877085,3
9,Austria,Western Europe,10,7.246,-2.4372569822144183,0.6784761532024859,-0.8691599309838652,3
10,Australia,Australia and New Zealand,11,7.228,-2.9096258451170183,1.67311655126453,-0.2893390212342092,3
11,Costa Rica,Latin America and Caribbean,12,7.167,-1.430521438635377,-0.4677564143583687,-2.11344641895145,1
12,Israel,Middle East and Northern Africa,13,7.139,-1.4422176698184652,-0.31877660611605885,-1.236809812111567,1
13,Luxembourg,Western Europe,14,7.09,-2.961667756044791,0.6686099512092238,-0.06230001645735315,3
14,United Kingdom,Western Europe,15,7.054,-2.445617264835153,1.523803104584998,-0.20404490195125233,3
15,Ireland,Western Europe,16,7.021,-2.9313461392194884,1.3955950203455774,0.20748714293910725,3
16,Germany,Western Europe,17,6.985,-2.3663625002720288,0.9723894073122109,-0.39286945656335104,3
17,Belgium,Western Europe,18,6.923,-2.1338476766846495,-0.14682180747456294,-0.6211677169570047,1
18,United States,North America,19,6.892,-1.6903025818729138,0.3208321218415463,-0.5729160881050933,1
19,Czech Republic,Central and Eastern Europe,20,6.852,-1.2076882508712967,-1.860438046267402,-1.498307375222108,1
